銘柄情報,銘柄名,銘柄コード,国名コード,種別,取引値
取引日,単価,購入数,売却数,手数料,配当･分配,税,コメント
2014/12/30,7637.0000,0.0000,0.0000,0.00,0.00,0.00,
2015/12/30,3154.0000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,NTTドコモ,9437,JP,株式(現物),2484.0000,http://www.nttdocomo.co.jp/corporate/ir/index.html
2011/12/30,1415.0000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,1240.0000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/30,1725.0000,0.0000,0.0000,0.00,0.00,0.00,
2014/12/30,1768.0000,0.0000,0.0000,0.00,0.00,0.00,
2015/12/30,2484.0000,0.0000,0.0000,0.00,0.00,0.00,
DEFINE,ソフトバンク,9984,JP,株式(現物),6139.0000,http://www.softbank.co.jp/ja/irinfo/
2011/12/30,2267.0000,0.0000,0.0000,0.00,0.00,0.00,
2012/12/28,3140.0000,0.0000,0.0000,0.00,0.00,0.00,
2013/12/30,9200.0000,0.0000,0.0000,0.00,0.00,0.00,
2014/12/30,7210.0000,0.0000,0.0000,0.00,0.00,0.00,
2015/12/30,6139.0000,0.0000,0.0000,0.00,0.00,0.00,
